dataset,model,model_short,variant,n_trials,val_acc_mean,val_acc_std,clean_acc_mean,clean_acc_std,noisy_acc_mean,noisy_acc_std,epochs,params,n_points,num_classes
circles_noisy,PointNetTutorial,PointNetTutorial,baseline,3,81.2222,0.8315,0.8122,0.0083,0.8122,0.0083,50,141763,600,3
circles_noisy,RelaxedOnEquivariantTensorFieldNetwork,RelaxTFN,baseline,3,88.6667,15.7926,0.8867,0.1579,0.8867,0.1579,50,1068389,600,3
circles_noisy,RipsPointNet,RipsPointNet,baseline,3,73.1111,1.4990,0.7311,0.0150,0.7311,0.0150,20,281379,600,3
circles_noisy,ScalarDistanceDeepSet,ScalarDeepSet,baseline,3,44.4444,15.7135,0.4444,0.1571,0.4444,0.1571,100,75651,600,3
circles_noisy,ScalarInputMLP,ScalarMLP,baseline,3,56.1111,16.1207,0.5611,0.1612,0.5611,0.1612,100,664067,600,3
circles_noisy,StochasticTensorFieldNetwork,StochTFN,baseline,3,100.0000,0.0000,1.0000,0.0000,1.0000,0.0000,50,41301,600,3
circles_noisy,TensorFieldNetwork,TFN,baseline,3,99.8889,0.1571,0.9989,0.0016,0.9989,0.0016,100,89091,600,3
shapes3d_8way,AttentionTensorFieldNetwork,AttnTFN,baseline,3,100.0000,0.0000,1.0000,0.0000,0.5608,0.2222,50,904439,600,8
shapes3d_8way,GTTensorFieldNetworkV2,GTTFNv2,attn-pool,3,100.0000,0.0000,1.0000,0.0000,0.5619,0.1525,20,90569,600,8
shapes3d_8way,GTTensorFieldNetworkV2,GTTFNv2,baseline,3,100.0000,0.0000,1.0000,0.0000,0.8727,0.0111,100,89416,600,8
shapes3d_8way,GTTensorFieldNetworkV2,GTTFNv2,dtm-filter,1,100.0000,0.0000,1.0000,0.0000,0.9792,0.0000,20,89416,100,8
shapes3d_8way,GTTensorFieldNetworkV2,GTTFNv2,pd-fusion,3,100.0000,0.0000,0.9775,0.0319,0.6453,0.1004,20,89416,600,8
shapes3d_8way,HierarchicalTensorFieldNetwork,HierTFN,attn-pool,3,90.6532,12.9803,0.9077,0.1306,0.3660,0.1818,20,194664,600,8
shapes3d_8way,HierarchicalTensorFieldNetwork,HierTFN,baseline,3,95.8333,5.8926,0.9550,0.0637,0.3840,0.1163,50,194664,600,8
shapes3d_8way,HybridOnEquivariantTensorFieldNetwork,HybridTFN,baseline,3,61.2613,36.4180,0.6126,0.3642,0.3108,0.1315,20,1863920,600,8
shapes3d_8way,OnEquivariantTensorFieldNetwork,OnEquivTFN,attn-pool,1,100.0000,0.0000,1.0000,0.0000,0.4932,0.0000,20,1754344,600,8
shapes3d_8way,OnEquivariantTensorFieldNetwork,OnEquivTFN,baseline,3,100.0000,0.0000,1.0000,0.0000,0.5800,0.1204,50,1754344,600,8
shapes3d_8way,PointNet3D,PointNet3D,baseline,3,100.0000,0.0000,1.0000,0.0000,0.6588,0.0307,20,142472,600,8
